grammy_key,grammy_title,grammy_category,grammy_nominee,grammy_artist,grammy_workers,grammy_img
1,52nd Annual GRAMMY Awards  (2009),best dance recording,poker face,lady gaga,"redone, producer; robert orton, redone and dave russell, mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/lady%2bgaga/lady%2520gaga_1_1_1594731362.jpg?itok=o8wmbmxy
2,60th Annual GRAMMY Awards  (2017),best urban contemporary album,starboy,the weeknd,"circut, doc mckinney and the weeknd, producers; serban ghenea, john hanes, doc mckinney and josh smith, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/the%2bweeknd/the%2520weeknd_1_1_1596247865.jpg?itok=rjkyi9uh
3,52nd Annual GRAMMY Awards  (2009),best rock album,21st century breakdown,green day,"green day and butch vig, producers; chris dugan and chris lord-alge, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/green%2bday/green%2520day_1_1_1578385279.jpg?itok=wr16ylos
4,62nd Annual GRAMMY Awards  (2019),record of the year,bad guy,billie eilish,"finneas o'connell, producer; rob kinelski and finneas o'connell, engineers/mixers; john greenham, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/billie%2beilish/billie%2520eilish_1_1_1594138954.jpg?itok=3-71dfxh
5,27th Annual GRAMMY Awards  (1984),record of the year,what's love got to do with it,tina turner,"terry britten, producer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/tina%2bturner/tina%2520turner_1_1_1579278403.jpg?itok=vj-mw-l4
6,45th Annual GRAMMY Awards  (2002),best latin pop album,caraluna,bacilos,"bacilos, luis ochoa and gonzalo vasquez, producers; gustavo afont, jon fausty, iker gastraminsa, jaime lagueruela, eric schilling, bob st. john and gonzalo vasquez, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/luis%2bochoa/luis%2520ochoa_1_1_1581631746.jpg?itok=wb8odk7y
7,50th Annual GRAMMY Awards  (2007),record of the year,rehab,amy winehouse,"mark ronson, producer; tom elmhirst, samuel ""vaughan"" merrick, dom morley, mark ronson and gabriel roth, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/amy%2bwinehouse/amy%2520winehouse_1_1_1578384847.jpg?itok=e0x96uqf
8,22nd Annual GRAMMY Awards  (1979),best disco recording,i will survive,gloria gaynor,"dino fekaris and freddie perren, producers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/gloria%2bgaynor/gloria%2520gaynor_1_1_1578387145.jpg?itok=psacbtab
9,59th Annual GRAMMY Awards  (2016),record of the year,hello,adele,"greg kurstin, producer; julian burg, tom elmhirst, emile haynie, greg kurstin, liam nolan, alex pasco and joe visciano, engineers/mixers; tom coyne and randy merrill, mastering engineers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/adele/adele_1_1_1584090130.jpg?itok=xlww6t3a
10,35th Annual GRAMMY Awards  (1992),record of the year,tears in heaven,eric clapton,"russ titelman, producer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/eric%2bclapton/eric%2520clapton_1_1_1581552257.jpg?itok=vs2ofnyf
