time_key,music_key,grammy_key,popularity,has_grammy_match
,1,,44,False
,2,,47,False
,3,,22,False
,4,,62,False
,5,,19,False
,6,,24,False
,7,,0,False
,8,,30,False
,9,,17,False
,10,,20,False
,11,,86,False
,12,,36,False
,13,,58,False
,14,,13,False
,15,,20,False
,16,,20,False
,17,,14,False
,18,,58,False
,19,,24,False
,20,,36,False
,21,,16,False
,22,,47,False
,23,,44,False
,24,,58,False
,25,,30,False
,26,,0,False
,27,,33,False
,28,,24,False
,29,,24,False
,30,,49,False
,31,,0,False
,32,,0,False
,33,,8,False
,34,,47,False
,35,,66,False
,36,,17,False
,37,,21,False
,38,,25,False
,39,,0,False
,40,,28,False
,41,,20,False
,42,,37,False
,43,,38,False
,44,,62,False
,45,,52,False
,46,,53,False
,47,,52,False
,48,,47,False
,49,,43,False
,50,,0,False
,51,,52,False
,52,,65,False
,53,,40,False
,54,,8,False
,55,,68,False
,56,,18,False
,57,,48,False
,58,,0,False
,59,,12,False
,60,,0,False
,61,,59,False
,62,,66,False
,63,,12,False
,64,,34,False
,65,,19,False
,66,,63,False
,67,,0,False
,68,,42,False
,69,,43,False
,70,,53,False
,71,,34,False
,72,,26,False
,73,,0,False
,74,,31,False
,75,,0,False
,76,,35,False
,77,,19,False
,78,,0,False
,79,,72,False
,80,,21,False
,81,,23,False
,82,,22,False
,83,,51,False
,84,,1,False
,85,,17,False
,86,,62,False
,87,,66,False
,88,,71,False
,89,,33,False
,90,,40,False
,91,,30,False
,92,,17,False
,93,,44,False
,94,,16,False
,95,,16,False
,96,,29,False
,97,,11,False
,98,,46,False
,99,,23,False
,100,,1,False
,101,,18,False
,102,,37,False
,103,,21,False
,104,,1,False
,105,,29,False
,106,,31,False
,107,,62,False
,108,,1,False
,109,,39,False
,110,,20,False
,111,,47,False
,112,,0,False
,113,,0,False
,114,,43,False
,115,,21,False
,116,,21,False
,117,,21,False
,118,,0,False
,119,,28,False
,120,,42,False
,121,,16,False
,122,,21,False
,123,,24,False
,124,,22,False
,125,,51,False
,126,,0,False
,127,,0,False
,128,,22,False
,129,,27,False
,130,,44,False
,131,,28,False
,132,,12,False
,133,,56,False
,134,,35,False
,135,,20,False
,136,,52,False
,137,,24,False
,138,,32,False
,139,,28,False
,140,,29,False
,141,,58,False
,142,,22,False
,143,,19,False
,144,,0,False
,145,,23,False
,146,,51,False
,147,,20,False
,148,,23,False
,149,,57,False
,150,,61,False
,151,,27,False
,152,,11,False
,153,,23,False
,154,,18,False
,155,,54,False
,156,,27,False
,157,,0,False
,158,,26,False
,159,,69,False
,160,,0,False
,161,,0,False
,162,,26,False
,163,,0,False
,164,,40,False
,165,,56,False
,166,,33,False
,167,,21,False
,168,,0,False
,169,,21,False
,170,,50,False
,171,,39,False
,172,,41,False
,173,,21,False
,174,,0,False
,175,,43,False
,176,,39,False
,177,,41,False
,178,,14,False
,179,,50,False
,180,,44,False
,181,,36,False
,182,,65,False
,183,,12,False
,184,,0,False
,185,,47,False
,186,,27,False
,187,,72,False
,188,,52,False
,189,,2,False
,190,,0,False
,191,,28,False
,192,,61,False
,193,,0,False
,194,,0,False
,195,,0,False
,196,,24,False
,197,,50,False
,198,,37,False
,199,,47,False
,200,,0,False
,201,,17,False
,202,,28,False
,203,,23,False
,204,,78,False
,205,,40,False
,206,,53,False
,207,,51,False
,208,,22,False
,209,,20,False
,210,,68,False
,211,,27,False
,212,,9,False
,213,,1,False
,214,,55,False
,215,,23,False
,216,,0,False
,217,,33,False
,218,,0,False
,219,,18,False
,220,,0,False
,221,,59,False
,222,,58,False
,223,,36,False
,224,,0,False
,225,,65,False
,226,,0,False
,227,,44,False
,228,,42,False
,229,,28,False
,230,,8,False
,231,,23,False
,232,,0,False
,233,,5,False
,234,,21,False
,235,,54,False
,236,,47,False
,237,,59,False
,238,,12,False
,239,,11,False
,240,,41,False
,241,,17,False
,242,,0,False
,243,,50,False
,244,,64,False
,245,,43,False
,246,,54,False
,247,,31,False
,248,,58,False
,249,,14,False
,250,,21,False
,251,,44,False
,252,,48,False
,253,,41,False
,254,,0,False
,255,,18,False
,256,,56,False
,257,,72,False
,258,,63,False
,259,,14,False
,260,,33,False
,261,,35,False
,262,,60,False
,263,,0,False
,264,,71,False
,265,,16,False
,266,,12,False
,267,,64,False
,268,,58,False
,269,,53,False
,270,,12,False
,271,,44,False
,272,,75,False
,273,,49,False
,274,,79,False
,275,,71,False
,276,,14,False
,277,,18,False
,278,,44,False
,279,,19,False
,280,,58,False
,281,,1,False
,282,,40,False
,283,,53,False
,284,,42,False
,285,,46,False
,286,,0,False
,287,,56,False
,288,,50,False
,289,,0,False
,290,,26,False
,291,,13,False
,292,,18,False
,293,,53,False
,294,,21,False
,295,,18,False
,296,,16,False
,297,,35,False
,298,,39,False
,299,,32,False
,300,,46,False
,301,,0,False
,302,,10,False
,303,,25,False
,304,,42,False
,305,,58,False
,306,,52,False
,307,,50,False
,308,,38,False
,309,,18,False
,310,,35,False
,311,,39,False
,312,,0,False
,313,,47,False
,314,,0,False
,315,,22,False
,316,,48,False
,317,,24,False
,318,,58,False
,319,,27,False
,320,,10,False
,321,,23,False
,322,,58,False
,323,,39,False
,324,,41,False
,325,,35,False
,326,,41,False
,327,,23,False
,328,,26,False
,329,,28,False
,330,,21,False
,331,,35,False
,332,,40,False
,333,,0,False
,334,,24,False
,335,,43,False
,336,,33,False
,337,,10,False
,338,,5,False
,339,,34,False
,340,,43,False
,341,,7,False
,342,,0,False
,343,,0,False
,344,,14,False
,345,,16,False
,346,,3,False
,347,,31,False
,348,,19,False
,349,,11,False
,350,,58,False
,351,,11,False
,352,,34,False
,353,,21,False
,354,,41,False
,355,,30,False
,356,,4,False
,357,,0,False
,358,,0,False
,359,,33,False
,360,,0,False
,361,,64,False
,362,,0,False
,363,,41,False
,364,,0,False
,365,,0,False
,366,,19,False
,367,,66,False
,368,,56,False
,369,,14,False
,370,,21,False
,371,,0,False
,372,,16,False
,373,,0,False
,374,,59,False
,375,,55,False
,376,,0,False
,377,,10,False
,378,,32,False
,379,,23,False
,380,,14,False
,381,,38,False
,382,,43,False
,383,,68,False
,384,,13,False
,385,,30,False
,386,,55,False
,387,,2,False
,388,,41,False
,389,,23,False
,390,,62,False
,391,,8,False
,392,,36,False
,393,,21,False
,394,,45,False
,395,,0,False
,396,,49,False
,397,,23,False
,398,,18,False
,399,,1,False
,400,,54,False
,401,,22,False
,402,,35,False
,403,,18,False
,404,,26,False
,405,,36,False
,406,,11,False
,407,,48,False
,408,,44,False
,409,,17,False
,410,,16,False
,411,,20,False
,412,,2,False
,413,,0,False
,414,,0,False
,415,,70,False
,416,,68,False
,417,,28,False
,418,,5,False
,419,,47,False
,420,,30,False
,421,,48,False
,422,,40,False
,423,,21,False
,424,,27,False
,425,,19,False
,426,,42,False
,427,,41,False
,428,,1,False
,429,,23,False
,430,,35,False
,431,,0,False
,432,,0,False
,433,,46,False
,434,,16,False
,435,,20,False
,436,,20,False
,437,,53,False
,438,,24,False
,439,,16,False
,440,,36,False
,441,,0,False
,442,,0,False
,443,,38,False
,444,,88,False
,445,,0,False
,446,,0,False
,447,,29,False
,448,,52,False
,449,,66,False
,450,,40,False
,451,,24,False
,452,,37,False
,453,,36,False
,454,,38,False
,455,,24,False
,456,,13,False
,457,,19,False
,458,,23,False
,459,,52,False
,460,,50,False
,461,,19,False
,462,,38,False
,463,,84,False
,464,,0,False
,465,,53,False
,466,,38,False
,467,,48,False
,468,,32,False
,469,,40,False
,470,,48,False
,471,,17,False
,472,,29,False
,473,,0,False
,474,,6,False
,475,,22,False
,476,,59,False
,477,,20,False
,478,,30,False
,479,,69,False
,480,,19,False
,481,,28,False
,482,,49,False
,483,,44,False
,484,,31,False
,485,,33,False
