year,title,published_at,updated_at,category,nominee,artist,workers,img,grammy_nominee_key,grammy_artist_key
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,record of the year,bad guy,billie eilish,"finneas o'connell, producer; rob kinelski and finneas o'connell, engineers/mixers; john greenham, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/billie%2beilish/billie%2520eilish_1_1_1594138954.jpg?itok=3-71dfxh,bad guy,billie eilish
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,record of the year,"hey, ma",bon iver,"bj burton, brad cook, chris messina and justin vernon, producers; bj burton, zach hanson and chris messina, engineers/mixers; greg calbi, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/bon%2biver/bon%2520iver_1_1_1578385181.jpg?itok=_m1hc5ux,"hey, ma",bon iver
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,record of the year,7 rings,ariana grande,"charles anderson, tommy brown, michael foster and victoria monet, producers; serban ghenea, john hanes, billy hickey and brendan morawski, engineers/mixers; randy merrill, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/ariana%2bgrande/ariana%2520grande_1_1_1578384678.jpg?itok=amj90j13,7 rings,ariana grande
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,record of the year,hard place,h.e.r.,"rodney darkchild jerkins, producer; joseph hurtado, jaycen joshua, derek keota and miki tsutsumi, engineers/mixers; colin leonard, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/h.e.r./h.e.r._1_1_1594631035.jpg?itok=clje-2mn,hard place,h.e.r.
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,record of the year,talk,khalid,"disclosure and denis kosiak, producers; ingmar carlson, jon castelli, josh deguzman, john kercy, denis kosiak, guy lawrence and michael romero, engineers/mixers; dale becker, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/khalid/khalid_1_1_1594578772.jpg?itok=2hxjat-x,talk,khalid
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,record of the year,old town road,lil nas x featuring billy ray cyrus,"andrew ""voxgod"" bolooki, jocelyn jozzy donald and youngkio, producers; andrew ""voxgod"" bolooki, cinco and joe grasso, engineers/mixers; eric lagg, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/montero%2blamar%2bhill/lil%2520nas%2520x_1_1_1581656760.jpg?itok=_yr6doji,old town road,lil nas x featuring billy ray cyrus
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,record of the year,truth hurts,lizzo,"ricky reed and tele, producers; chris galland, manny marroquin and ethan shumaker, engineers/mixers; chris gehringer, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/lizzo/lizzo_1_1_1583931631.jpg?itok=gm2fqx4s,truth hurts,lizzo
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,record of the year,sunflower,post malone and swae lee,"louis bell and carter lang, producers; louis bell and manny marroquin, engineers/mixers; mike bozzi, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/post%2bmalone/post%2520malone_1_1_1594910341.jpg?itok=hcyrm13g,sunflower,post malone and swae lee
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,album of the year,"when we all fall asleep, where do we go?",billie eilish,"finneas o'connell, producer; rob kinelski and finneas o'connell, engineers/mixers; billie eilish o'connell and finneas o'connell, songwriters; john greenham, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/billie%2beilish/billie%2520eilish_1_1_1594138954.jpg?itok=3-71dfxh,"when we all fall asleep, where do we go?",billie eilish
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,album of the year,"i,i",bon iver,"brad cook, chris messina and justin vernon, producers; zach hanson and chris messina, engineers/mixers; bj burton, brad cook and justin vernon, songwriters; greg calbi, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/bon%2biver/bon%2520iver_1_1_1578385181.jpg?itok=_m1hc5ux,"i,i",bon iver
